Length	Height	Width	Species	Weight	
57.67 10.46 7.14 3 1604.9
18.6 6.11 3.22 1 99.2
37.9 6.96 4.64 3 435.1
21.06 7.13 3.42 1 152.6
16.01 4.75 2.93 1 81.8
34.12 11.28 5.71 2 789.1
32.7 10.21 5.84 1 541
40.88 7.95 5.02 3 418.2
55.07 10.22 6.58 3 1462.8
30.77 10.78 5.86 2 611.6
21.22 7.81 4.1 1 187
15.08 5.08 2.5 1 41
18.65 6.89 3.49 2 140.6
31.5 9.84 5.34 1 405.9
48.89 7.66 4.8 3 911.7
25.61 7.71 4.5 1 243.9
37.83 13.09 7.15 2 1068.4
20.31 5.72 3.46 1 135.9
43.44 8.09 4.84 3 618.5
49.88 9.83 6.69 3 1072
16.49 4.95 2.58 1 70.9
30.83 10.46 5.5 2 538.4
33.54 5.98 3.94 3 280
24.12 8.14 4.39 1 265.1
37.11 6.21 4.01 3 386.3
28.13 9.43 5.15 1 356.2
32.97 6.64 4.26 3 329.2
32.85 11.74 6.67 2 798.8
46.06 8.52 5.7 3 1045.7
25.66 9.3 4.79 2 388.5
35.31 12.46 7.22 2 1035.5
26.97 9.82 5.56 2 397.6
21.37 7.06 3.4 1 174.7
26.6 8.3 4.57 1 296.8
36.18 12.24 6.01 2 893.3
37.06 12.39 6.58 2 965.6
28.2 8.68 4.68 1 281.8
37.46 6.19 4.58 3 346.6
40.08 14.37 8.51 2 1488.5
26.18 8.07 4.37 1 209.7
50.13 9.53 5.9 3 1229.6
18.57 6 3.39 1 119.3
45.41 7.99 5.76 3 805.9
32.32 6.44 4.26 3 313.4
39.34 14.09 8.43 2 1298.3
47.1 7.82 5.34 3 792
29.97 10.62 5.85 2 492.5
28.91 9.89 5.08 2 525.7
22.51 6.84 3.94 1 177.4
56.49 10.48 7.44 3 1698.8
34.76 12.63 7.34 2 958.6
35.17 11.41 5.67 2 835.1
49.9 10.33 7.02 3 1343.5
47.77 9.43 6.08 3 1197.7
29.47 9.46 5.07 1 371.6
42.45 8.01 5.41 3 572.4
24.7 8.72 4.62 2 286.8
16.38 4.97 2.96 1 80.2
46.23 9.01 5.81 3 840.2
25.7 7.74 4.33 1 248.9
17.58 6.34 3.39 1 113.9
53.49 9.17 6.27 3 1478.5
48.02 8.31 5.75 3 717.2
21.98 7.01 2.94 2 184.3
34.77 12.69 7.63 2 1017.7
46.89 8.89 6.04 3 958.1
48.72 7.19 5.13 3 1104.4
68.75 12.82 8.78 3 2772.2
27.59 9.4 4.88 1 322
19.85 6.36 3.66 1 134.6
23.54 7.76 3.82 2 252.5
45.93 8.03 4.95 3 819.4
20.65 6.24 3.33 1 146.7
22.9 8.41 4.51 2 244.1
25.51 9.47 5.6 2 388.8
23.06 7.67 4.32 1 180.2
35.66 6.55 4.49 3 549.5
19.02 5.99 3.12 1 96.2
22.35 7.9 4.2 1 216.1
44.99 8.75 5.64 3 665
59.64 11.29 7.64 3 1694.7
46.79 8.7 5.57 3 1128.7
26.36 9.59 5.51 2 393.2
60.45 9.36 6.65 3 1634.8
26.48 4.88 3.19 3 140.7
32.31 11.58 6.66 2 726.9
41.04 13.51 7.17 2 1329.7
33.84 11.72 6.36 2 736.1
27.54 8.96 4.13 2 337.1
17.57 5.74 3.03 1 98
31.39 10.98 6.05 2 614.8
25.51 8.14 4.33 1 271.4
27.88 9.69 4.87 2 489.7
18.3 5.95 3.4 1 111
29.08 5.26 3.72 3 210.3
46.25 7.52 4.81 3 880.5
28.35 9.95 5.26 1 362.8
29.64 10.11 5.29 2 514.5
36.8 6.7 3.85 3 359.2
49.06 16.7 9.48 2 2407.5
37.05 12.92 7.1 2 962.2
51.5 8.38 6.13 3 1009.3
30.26 11.32 6.56 2 610.8
18.88 6.12 3.32 1 126.3
26.89 9.52 5.24 2 398.4
20.74 7.17 4.09 1 185.1
61.33 11.2 7.57 3 1639.8
54.7 10.12 6.69 3 1302.4
45.08 15.91 9.28 2 2025.5
31.55 11.84 7.33 2 700.3
46.02 8.01 5.45 3 996.4
28.79 9.64 5.08 1 408
16.67 4.61 2.76 1 71.9
48.73 8.56 5.72 3 869.2
58.39 9.67 6.68 3 1489.7
26.5 8.86 4.68 1 290
27.77 9.27 4.75 1 306.3
19.63 6.23 3.58 1 108.8
33.41 11.19 5.51 2 740.2
24.15 8.08 4.49 1 260.8
46.79 8.46 6.01 3 773.1
23.6 7.75 3.43 2 214.9
47.8 9.31 6.31 3 736.4
23.9 8.17 4.2 1 257
39.24 14.46 8.69 2 1400.2
32.34 5.91 4.22 3 397.1
44.81 8.81 6.13 3 829
22.06 6.65 3.79 1 158.6
21.5 7.11 3.87 1 150.2
33.56 12.23 7.02 2 777.4
32.75 5.46 3.28 3 267.1
37.6 6.74 4.77 3 352.2
40.89 8.07 5.29 3 671.5
18.66 6.99 3.8 1 145.8
42.8 14.86 8.59 2 1660.1
20.42 6.33 3.79 1 168.2
38.36 13.09 7.01 2 1116.1
37.46 12.55 6.62 2 1002.1
18.85 5.82 3.09 1 103.9
43.49 7.99 5.31 3 784.6
33.43 5.58 3.28 3 258.6
24.01 7.77 4.12 1 203
17.52 7.36 4.48 2 132
39.19 7.69 5.08 3 443.4
22.91 7.01 3.94 1 151.3
27.77 8.99 5.03 1 375.1
32.28 9.9 4.41 2 581.3
52.1 10.32 6.83 3 1316.7
27.02 10 5.74 2 457.5
23.83 7.87 4 1 187.6
51.56 9.32 6.34 3 1100.3
37.69 13.09 7.51 2 1106.9
39.28 7.48 4.84 3 548.4
18.94 7.79 4.84 2 162
22.63 6.49 3.63 1 173.2
32.44 5.73 3.39 3 279.3
30.7 11.09 6.53 2 626.4
41.12 7.1 5.07 3 538
32.58 11.39 6.56 2 677.4
54.17 9.07 5.82 3 1440.3
50.32 8.72 6 3 1025
50.79 9.33 6.39 3 1064.7
38.28 13.13 7.25 2 1147.5
26.56 9.69 5.19 2 420.8
13.24 3.56 2.13 1 34.5
32.72 10.85 5.67 2 690.8
58.98 10.62 6.7 3 1401.1
59.41 10.95 7.01 3 1897.3
25.84 7.74 4.5 1 269.4
40.18 13.18 6.99 2 1319.5
23.29 8.32 4.44 1 235.8
55.87 10.43 6.42 3 1317.3
26.21 8.71 4.13 2 315.3
34.32 11.64 6.17 2 782.8
21.67 7.64 3.81 1 172.5
37.12 6.68 4.61 3 305
50.58 9.49 6.32 3 1167.4
46.78 8.85 5.44 3 1006.2
34.77 6.72 4.42 3 215.7
35.08 12.94 7.81 2 1003.9
21.9 6.97 3.62 1 162
52.65 9.47 6.1 3 1253.4
42.34 14.39 7.75 2 1620.7
30.19 9.86 5 2 535.3
22.47 6.67 4.1 1 213.4
26.62 9.59 5.49 2 374.8
34.06 11.84 6.49 2 759.8
57.87 10.2 6.31 3 1517.2
22.15 6.81 3.98 1 183.8
54.46 10.07 6.41 3 1422.6
24.86 9.43 5.32 2 384.7
57.79 10.86 7.13 3 1909.7
50.51 9.04 5.78 3 1183.4
38.86 6.46 4.61 3 409
35.17 6.77 4.43 3 231.8
23.3 7.01 4.05 1 170.5
21.26 6.57 3.74 1 152.3
25.09 8.26 4.43 1 223.7
35.46 12.08 6.62 2 927.8
29.29 10.42 5.9 2 541.2
22.07 7.16 4.04 1 196.8
38.83 13.24 7.29 2 1221
26.71 9.27 4.9 2 382.7
18.22 6.14 3.21 1 115.6
41.89 6.95 4.73 3 763.2
46.94 8.92 5.89 3 739.7
22.48 8.19 4.57 2 224.8
22.81 7.53 3.93 1 188.5
27.04 9.3 5.1 1 363.3
28.82 10.13 5.31 2 496.4
28.39 9.68 5.66 1 386.5
34.4 11.53 6 2 829.8
32.49 10.51 5.09 2 608.9
20.65 7.06 3.53 1 165.5
24.12 4.07 2.28 3 85.8
57.04 10 6.21 3 1769.4
42.82 7.94 5.66 3 513.6
35.1 11.61 5.57 2 894.7
58.23 11.37 7.8 3 1512.2
39.82 13.13 7.02 2 1223.2
47.62 9.15 5.34 3 874.4
15.21 5.85 3.02 2 74.2
28.5 9.51 4.29 2 483.6
24.85 8.54 4.55 1 227.7
37.91 6.44 4.52 3 470
31.87 11.89 7.42 2 680.1
31.5 10.63 5.41 2 586.1
50.46 9.18 5.4 3 1025
12.53 3.59 1.92 1 24
32.5 5.77 4.21 3 406.2
20.15 6.57 3.49 1 136.2
26.61 8.2 4.84 1 302.2
25.63 9.2 5.1 2 357.1
16.41 5.41 2.75 1 79.9
32.62 11.86 7.11 2 705.7
31.39 11.1 6.4 2 633.7
60.02 10.51 7.36 3 2079.6
41.5 8.3 5.38 3 570.1
50.86 8.46 5.74 3 920.4
36.65 12.65 7.24 2 978.1
29.86 11.32 7.01 2 705.6
13.04 4.08 2.09 1 39.7
45.27 8.92 5.42 3 738
51.95 9.19 6.06 3 1324.7
28.41 8.69 4.91 1 360.7
16.38 5.4 2.95 1 80.1
33.3 12.35 7.5 2 887.5
25.97 5.55 3.88 3 162.4
39.09 7.69 4.49 3 431.4
36.19 12.5 6.86 2 970.4
19.63 6.08 3.28 1 122.1
41.41 6.91 4.38 3 544.3
36.93 12.61 6.94 2 1043.4
50.59 8.2 5.51 3 881.9
28.07 9.62 4.89 2 424.9
22.3 6.98 4.15 1 191.6
39.91 8.82 5.88 3 623.2
45.79 8.55 5.43 3 700.6
29.08 10.78 6.1 2 605.3
27.15 5.69 3.52 3 154.4
57.86 10.83 7.28 3 1597.2
39.97 13.05 6.89 2 1225
47.73 9.12 6.07 3 835.4
22.93 7.21 4.15 1 183.4
55.95 10.44 6.79 3 1538.3
29.01 9.97 5.39 1 449.5
27.3 8.89 4.2 2 408.7
25.26 8.27 4.58 1 261
37.32 7.09 4.82 3 388.8
54.67 11.43 7.43 3 1463.1
24.5 7.25 4.29 1 208.3
52.54 9.43 6.67 3 1214.4
29.77 10.54 5.67 2 561.8
23.21 7.44 3.86 1 188.2
39.05 6.92 4.52 3 363.2
24.69 7.92 4.31 1 257.4
22.26 7.9 3.62 1 155.3
30.35 10.18 5.26 2 466
44.63 8.38 5.09 3 757.2
23.32 7.68 4.3 1 182.6
34.26 11.61 6.13 2 831.7
49.74 9.69 6.68 3 904.6
18.01 6.4 3.52 1 120.8
25.15 8.77 4.35 1 249.7
63.36 11.75 8.42 3 2181.7
23.68 7.93 4.06 1 210
31.54 11.59 6.52 2 706.4
29.17 10.45 5.54 2 541.9
29.63 10.42 5.56 2 539.2
31.8 9.83 4.22 2 529.5
23.91 7.56 4.5 1 271.2
47.1 9.17 6.04 3 697
32.57 10.46 5.04 2 558.2
26.25 7.98 4.89 1 272.3
39.94 13.76 7.78 2 1343.9
17.73 5.58 2.83 1 66.2
23.45 7.28 4.24 1 263
23.53 8.54 4.25 1 205.2
23.31 8.79 4.9 2 239.5
20.93 7.73 3.65 1 168.8
35.4 11.77 5.8 2 933.4
36.99 7.15 5.06 3 424
23.99 6.87 3.97 1 171.5
43.6 7.62 5.2 3 783.2
20.12 7.02 3.79 1 195.7
35.06 6.16 3.98 3 455.9
21.17 8.6 5.04 2 267.3
47.43 9.44 6.35 3 924.4
22.57 6.72 4.06 1 182.3
45.09 14.8 7.94 2 1735.6
23.15 7.18 4.22 1 202.3
32.12 10.59 5.48 2 618.6
39.16 7.8 5.1 3 437.5
38.53 13.31 7.1 2 1145
48.15 8.3 5.72 3 924.7
34.05 11.39 6.13 1 655.4
19.29 5.37 3.01 1 111.5
50.33 9.14 6.06 3 1268.1
21.73 7.04 3.66 1 164.1
49.83 10.45 7.21 3 1238.9
18.32 5.91 3.17 1 121.2
22.64 7.53 4.06 1 206.8
30.62 9.56 5.59 1 471
29.87 9.47 5.69 1 507.5
36.61 11.92 6.24 2 818.9
19.53 5.56 3.17 1 95.6
40.53 13.87 7.67 2 1357.3
17.99 5.56 2.9 1 101.1
26.63 8.71 4.57 1 284.7
23.53 7.59 4.11 1 179.7
43.05 13.82 6.97 2 1515.5
42.71 7.8 5.29 3 718.5
46.56 8.73 5.91 3 1086.2
31.26 10.94 6.22 1 562.8
22.46 6.99 4.2 1 214.1
52.52 9.26 5.88 3 1270.9
35.9 7.38 4.64 3 476.1
69.68 12.68 8.06 3 2940.8
41.89 7.93 5.43 3 654.6
19.25 6.43 3.16 1 88.3
66 11.97 8.51 3 2181.1
35.66 6.46 4.3 3 447.2
41.5 6.76 4.31 3 449.9
23.35 7.03 3.8 1 148
20.81 7.79 4.11 1 191.4
37.12 12.19 6.36 2 942.5
27.21 10.19 6.1 2 454.8
20.16 6.14 3.47 1 134.4
49.68 8.11 5.74 3 1090.9
24.91 7.85 4.34 1 265.7
44.68 7.96 5.12 3 767.8
25.22 8.6 4.23 2 336.1
51.17 10.19 6.59 3 1369.3
25.46 9.5 5.12 2 347.5
25.59 8.94 4.5 2 410.2
22.37 6.8 4.07 1 177.2
19.23 5.99 3.22 1 99.5
44.51 7.14 4.7 3 462.8
22.18 7.98 3.85 1 148.9
54.47 9.65 6.56 3 1479.8
32.66 11.98 7.05 2 857.4
36.21 12.76 7.01 2 1022.8
15.89 5.08 2.48 1 54.2
39.01 13.57 7.64 2 1200
37.87 6.22 4.32 3 555.8
25.15 7.48 4.26 1 274.4
26.03 8.01 4.18 1 221.9
53.42 9.52 6.5 3 1172
21.09 6.95 3.62 1 149.9
20.31 7.76 4.62 2 194.6
36.52 12.82 6.95 2 1033.3
38.07 12.76 7.13 2 1073.7
31.18 5.59 3.88 3 346.8
32.1 10.77 5.43 2 634.6
19.19 6.73 3.19 1 101.3
53.9 9.5 6.62 3 1484.2
47.9 15.67 8.17 2 1990.5
18.25 5.68 3.31 1 114.9
20.56 7.03 3.78 1 132.8
43.06 8.51 5.72 3 674.6
31.41 11.5 6.53 2 663.8
16.36 4.6 2.47 1 65.4
35.73 12.21 6.69 2 923.2
25.16 8.42 4.53 1 253.8
58.37 10.21 7.21 3 1469.8
48.03 8.13 5.68 3 841.5
52.83 9.32 6.21 3 946.3
27.73 8.38 4.67 1 374.4
36.79 12.24 6.3 2 962.8
36.65 12.1 5.98 2 847.9
25.99 9.19 4.75 1 297.6
49.15 9.26 6.48 3 901.2
38.58 13.26 7.4 2 1223.6
36.6 12.58 7.05 2 968.3
41.73 14.08 7.74 2 1536.4
25.98 5.13 3.37 3 121.5
69.8 11.03 7.41 3 2476.2
55.31 9.32 6.09 3 1577
22.97 7.56 4.28 1 211.1
53.95 9.2 5.66 3 1251.9
52.75 10.14 6.76 3 1449.6
24.51 7.5 4.42 1 239
16.03 4.91 3.01 1 83.1
30.35 6.06 4.26 3 229.8
21.61 6.27 3.46 1 141.3
45.19 8.12 5.11 3 750.3
48.53 9.14 6.01 3 1145.1
36 7.23 4.63 3 447.5
32.6 11.73 6.8 2 808.5
21.53 6.69 3.39 1 130.1
23.63 7.44 4.18 1 190.7
23 9.27 5.82 2 275.3
47.33 9.24 6.06 3 1044
47.1 15.2 8.2 2 1996.3
28.49 9.96 5.3 2 462.8
21.44 7.47 4.16 1 185.1
41.24 7.88 5.33 3 554.8
22.76 7.73 3.86 2 213.4
30.11 11.13 6.73 2 652.4
56.21 10.01 6.09 3 1236.2
41.28 13.51 6.84 2 1399.5
46.3 7.88 4.96 3 702.4
35.76 13.09 7.94 2 1026.7
29.21 9.67 5.44 1 404.7
18 6.09 3.4 1 133
20.24 5.69 3.65 1 120.5
53.35 9.06 6.06 3 1120.4
59.89 10.56 6.41 3 2205
64.95 11.31 7.62 3 2270.4
23.52 7.76 4.11 1 190.4
27.9 8.91 4.17 2 379.4
46.36 8.78 6.05 3 853.4
24.84 8.25 4.56 1 260.3
26.48 9.33 4.94 2 386.8
28.31 8.53 5.07 1 319.6
18.12 6.87 3.77 2 130.3
56.54 10.42 6.99 3 1803
40.55 13.43 7.36 2 1306.4
29.05 10.54 6.03 2 507.4
56.83 10.48 6.78 3 1390.8
32.42 11.27 6.34 2 707.6
31.23 10.91 6.06 2 623
34.32 11.29 5.75 2 745.1
23.56 7.84 4.17 1 215.8
21.7 6.23 3.87 1 148.9
35.7 12.22 6.84 2 859.1
33.69 11.55 6.03 2 763.9
32.99 6.16 4.11 3 334.7
25.01 8.45 4.36 1 226.6
30.48 10.42 5.64 2 576.3
21.84 6.74 3.73 1 131.4
26.53 9.12 4.56 1 263.9
50.48 9.59 6.48 3 1210.5
28.47 9.99 5.41 2 465.4
40.36 8.27 5.23 3 502.1
24.88 8.29 4.32 1 236.5
18.73 6.59 3.1 1 86.8
37.47 13.17 7.35 2 1193.4
28.99 9.81 4.96 2 465.1
22.32 7.07 3.51 1 183.9
21.94 6.92 3.61 1 153.7
39.09 13.51 7.29 2 1246.4
59.08 11.86 7.26 3 1904.6
27.16 9.33 4.75 2 423.4
24.21 8.26 4.4 1 247.5
14.04 4.29 2.37 1 34
41.57 14.22 7.95 2 1395
38.16 13 7.13 2 1129.2
36.2 6.48 3.9 3 332.4
31.78 10.71 5.58 2 584.6
55.72 9.35 5.77 3 1279.7
34.52 11.61 5.97 2 794.5
22.27 7.2 3.89 1 165.6
20.62 6.09 3.37 1 112.6
39.19 7.29 5.28 3 601.7
14.73 4.36 2.33 1 42.5
36.23 12.49 6.85 2 962.5
27.91 9.16 4.66 1 315.9
14.04 2.73 1.6 6 19
16.5 3.5 2.76 5 57.6
29.47 16.22 5.64 4 598.2
34.98 16.91 5.65 4 1019.1
12.1 2.55 1.85 6 15.1
36.19 16.72 6.32 4 925.6
12.66 3.23 1.68 5 15.2
39.18 20.34 7.67 4 1378.7
35.53 18.02 6.7 4 973.4
31.08 9.46 5.49 5 572.6
13.76 2.68 1.9 6 22.1
15.48 4.38 2.59 5 60.7
12.14 2.29 1.7 6 12.9
16.95 5.16 2.83 5 71.8
12.8 2.5 1.63 6 11.6
35.22 10.69 5.92 5 699.8
29.21 9.09 5.52 5 432.6
12.84 2.62 1.7 6 17.6
35.21 16.47 6.25 4 747.5
21.56 5.65 4.3 5 149.9
29.51 13.57 4.75 4 465
37.61 21.02 7.65 4 1387.9
29.26 14.23 5.35 4 528.7
31.29 14.7 5.38 4 737.9
19.47 5.96 3.82 5 119.3
34.85 16.41 5.91 4 694.9
13.11 3.33 1.68 5 21.7
12.9 2.66 1.62 6 14.6
39.27 12.46 7.76 5 1040.3
12.9 2.57 1.59 6 14.2
32.91 16.08 5.51 4 936.2
20.89 7.85 4.6 5 259.8
25.99 13.32 4.68 4 399.1
13.91 2.96 1.89 6 20.7
31.22 9.69 5.48 5 472.1
15.08 3.29 2.08 6 24.8
31.78 10.32 6.24 5 512.9
40.55 13.15 7.58 5 1179.1
14.94 4.33 2.18 5 45.2
24.22 6.21 4.28 5 216.5
12.45 3.1 2.27 5 34.4
13.24 2.49 1.46 6 15.1
11.48 3.02 1.7 5 27.6
12.71 2.52 1.34 6 14.7
35.91 19.14 6.39 4 1137.6
37.24 12.17 7.21 5 915.3
11.68 2.2 1.02 6 11.4
45.34 23.12 8.31 4 2069.1
36.34 10.85 7.08 5 766.2
35.89 18.21 6.87 4 789.9
25.46 7.2 4.1 5 235.6
31.72 16.96 5.66 4 903.9
22.56 6.05 3.35 5 150.3
22.77 6.96 4.21 5 157.5
11.21 2.1 1.09 6 8
18.9 5.83 3.56 5 93.9
13.96 3.08 2.04 6 21.4
26.84 8.53 5.4 5 453.7
33.9 16.54 5.82 4 912.3
10.78 2.61 1.54 5 12.6
11.26 1.92 1.13 6 10.2
12.46 2.47 1.18 6 12.9
35.82 18.31 6.35 4 895.2
29.78 14.92 5.15 4 628.3
32.55 15.87 5.27 4 732.3
26.25 7.9 4.94 5 263.5
15.39 3.19 2.24 6 31.3
36.73 18.66 6.73 4 1012.8
30.82 9.85 5.86 5 491.3
13.02 2.64 1.58 6 15.7
24.95 7.51 4.27 5 239.9
11.64 2.12 1.13 6 9.1
29.65 14.18 4.83 4 490.4
38.18 20.06 7.15 4 1119.4
11.96 2.32 1.62 6 13.6
32.88 17.19 5.97 4 784.6
32.89 16.55 6.24 4 731.6
39.12 20.53 6.92 4 1418.4
39.91 19.07 7.22 4 1138.7
13.14 2.58 1.36 6 14.5
38.79 13.24 7.96 5 1157.3
34 16.26 5.41 4 681.5
13.42 2.96 1.6 6 18.8
17.3 5.22 3 5 88.7
36.53 11.83 7.71 5 968.3
10.73 1.89 0.97 6 8
37.38 19.73 6.93 4 1430.6
13.03 2.44 1.42 6 15.1
35.45 18.26 6.16 4 867.6
14.86 3.01 1.97 6 24.4
29.69 15.83 5.56 4 512.4
12.12 2.27 1.48 6 13.7
32.63 15.03 5.52 4 641.3
36.55 12.09 7.53 5 1005.1
35.86 11.16 6.77 5 843.8
11.42 2.31 1.49 6 11.8
21.67 6.54 3.97 5 171.9
12.77 2.54 1.89 6 15.3
36.79 11.62 6.83 5 927.9
32.6 16.34 5.91 4 773.7
35.35 17.94 6.42 4 1026.3
29.58 14.9 5.88 4 490.9
33.16 15.83 6.01 4 623.1
11.26 2.08 1.17 6 8.8
12.94 2.64 1.9 6 17.1
24.06 6.66 3.94 5 205.1
35.67 10.97 6.79 5 705.2
11.56 2.33 1.18 6 10.3
22.99 6.73 4.3 5 195.3
12.27 2.37 1.4 6 11.9
30.48 15.51 5.86 4 608.4
27.33 8.46 5.51 5 385.4
32.78 16.47 5.98 4 865.7
30.19 15.73 5.47 4 558.4
25.26 7.98 5.12 5 244.1
13.52 2.75 1.75 6 18.9
30.43 15.35 5.52 4 772.3
35.2 18.16 6.67 4 959.2
11.56 2.16 1.17 6 10.6
27.1 7.76 3.95 5 228.5
45.02 14.54 9.08 5 1689.3
12.58 2.56 1.26 6 13.2
12.05 2.7 1.67 6 14.2
34.8 16.12 5.81 4 570.2
13.02 2.37 1.44 6 15.4
34.44 16.74 6.22 4 873.4
37.3 17.95 6.79 4 985.5
31.17 10.17 7.35 5 687.7
32.08 16.42 5.96 4 441.2
13.58 2.72 1.78 6 17
12.14 2.51 1.24 6 11.6
40.9 12.44 6.93 5 1239.9
35.58 19.41 6.66 4 1144.1
31.58 16.79 5.62 4 552.5
37.01 11.22 6.09 5 832.6
34.26 16.78 6.21 4 719.4
12.12 2.44 1.46 6 14.4
37.36 17.65 6.98 4 1090.9
39.18 12.51 7.43 5 1105.7
31.58 15.89 6 4 707.9
11.19 1.99 1 6 10.4
10.95 2 1.13 6 9.1
36.17 18.47 6.42 4 985.1
43.96 13.98 8.6 5 1177.1
12.39 2.43 1.36 6 15.4
32.66 16.48 5.26 4 839.3
13.82 2.93 1.81 6 19.1
32.64 16.62 5.79 4 587.9
12.26 2.37 1.39 6 12.6
38.29 11.44 6.15 5 804.9
11.1 2.02 1.13 6 8.5
35.31 11.03 7.32 5 707.9
31.55 8.89 5.16 5 571.8
22.44 7.5 4 5 173.2
33.45 15.77 5.55 4 698.6
32.37 16.57 5.95 4 857.7
19.67 6.47 4.15 5 166.2
24.4 7.64 4.43 5 260.3
31 13.66 4.86 4 470.5
15.58 3.51 2.33 6 31.4
48.92 16.1 9.39 5 2002.5
28.96 14.93 4.87 4 480.3
13.53 2.63 1.55 6 18.6
34.43 16.87 5.35 4 889.5
13.97 2.87 1.61 6 23.3
13.18 2.37 1.66 6 16.2
17.71 5.46 3.47 5 99.8
11.61 2.29 1.56 6 11.3
44.98 14.5 8.39 5 1430.6
38.91 11.71 6.89 5 881.7
34.54 18.32 6.68 4 955
13.64 2.95 1.83 6 18.6
24.96 8.02 5.75 5 311
41.77 12.28 7.25 5 1113.9
12.03 2.28 1.12 6 10.5
14.63 2.87 1.5 6 17.4
